CVDBB_bbands_length,CVDBB_bbands_stddev,CVDBB_cvd_length,CVDBB_atr_length,CVDBB_sl_coef,CVDBB_tpsl_ratio,period,end_value,total_return_pct,benchmark_return_pct,total_fees_paid,max_drawdown_pct,max_drawdown_duration,total_trades,win_rate_pct,best_trade_pct,worst_trade_pct,avg_winning_trade_pct,avg_losing_trade_pct,profit_factor,expectancy,sharpe_ratio,calmar_ratio,omega_ratio,sortino_ratio
125,3.394767,44,18,2.949146,4.773361,218 days 10:00:00,927.097832,-7.290217,-50.755473,6.570351,10.398689,177 days 17:00:00,22,9.523810,29.749939,-5.712813,21.161944,-3.175531,0.475874,-4.555740,-1.229795,-1.142677,0.947414,-1.613197
119,2.053566,53,8,2.503136,4.712980,218 days 10:00:00,900.260101,-9.973990,-50.755473,9.889748,16.279649,177 days 17:00:00,30,10.344828,11.506100,-5.763391,10.999793,-3.241405,0.522296,-4.156280,-1.367930,-0.989183,0.942613,-1.910127
133,2.570270,50,9,2.642419,3.053023,218 days 10:00:00,853.131395,-14.686860,-50.755473,9.859315,15.418129,212 days 14:00:00,33,12.500000,29.484232,-9.745372,12.430177,-3.670075,0.398936,-4.803016,-2.366519,-1.512077,0.890794,-3.153831
56,5.290806,46,20,2.388170,4.286576,218 days 10:00:00,791.148313,-20.885169,-50.755473,17.690549,23.741274,125 days 12:00:00,50,10.204082,16.789679,-7.374197,11.808966,-2.903301,0.459167,-4.409332,-2.432899,-1.364513,0.888307,-3.343895
85,3.909659,39,5,2.625940,4.640854,218 days 10:00:00,1012.044698,1.204470,-50.755473,10.679837,9.494046,125 days 12:00:00,32,19.354839,28.356130,-11.107805,16.578834,-3.470734,1.043222,0.340464,0.218228,0.212863,1.010343,0.318239
98,2.723395,47,12,2.214589,3.754518,218 days 10:00:00,826.182058,-17.381794,-50.755473,15.257833,20.146089,213 days 19:00:00,43,11.904762,9.566868,-7.965061,8.121329,-3.088510,0.470830,-4.268395,-2.186521,-1.356021,0.901308,-2.941260
139,4.163889,51,17,2.655723,3.770793,218 days 10:00:00,856.288090,-14.371191,-50.755473,9.274735,14.371191,212 days 15:00:00,29,10.344828,12.523299,-8.308751,9.844455,-3.275393,0.405702,-4.955583,-2.489853,-1.589196,0.843235,-3.307179
114,3.192186,53,14,2.281855,3.236330,218 days 10:00:00,792.544269,-20.745573,-50.755473,14.429135,21.669314,212 days 14:00:00,41,10.000000,9.315498,-7.858635,6.761705,-2.860726,0.334800,-5.360979,-2.908209,-1.485780,0.847845,-3.860247
138,4.201300,38,9,2.417946,4.935161,218 days 10:00:00,876.770194,-12.322981,-50.755473,10.587278,14.612209,172 days 10:00:00,30,10.000000,15.716762,-7.774601,14.195548,-3.026420,0.515671,-4.107660,-1.607505,-1.350214,0.920240,-2.177643
34,3.482148,37,8,2.990505,3.825235,218 days 10:00:00,791.442411,-20.855759,-50.755473,11.713951,23.490790,216 days 17:00:00,45,9.090909,21.279999,-9.606599,16.134946,-3.892856,0.369993,-5.142821,-2.801032,-1.377275,0.903295,-3.749958
137,4.717445,39,6,2.238597,4.359690,218 days 10:00:00,836.295239,-16.370476,-50.755473,13.198414,16.947466,203 days 14:00:00,33,9.090909,14.678851,-6.757487,11.761389,-2.673312,0.408982,-4.960750,-2.281445,-1.523865,0.875312,-3.003633
113,2.833827,51,11,2.534327,3.993122,218 days 10:00:00,854.476974,-14.552303,-50.755473,12.857982,17.569118,213 days 17:00:00,41,12.500000,13.297760,-9.526021,9.524047,-3.477601,0.514867,-3.822925,-1.948511,-1.315443,0.902195,-2.684617
110,3.041723,53,13,2.389202,3.021675,218 days 10:00:00,839.814365,-16.018564,-50.755473,14.277446,16.949960,212 days 14:00:00,42,14.634146,9.171781,-8.337721,6.438252,-3.079604,0.476909,-4.078393,-2.261431,-1.492824,0.875624,-3.079108
43,2.319503,41,13,2.956801,4.353540,218 days 10:00:00,931.598418,-6.840158,-50.755473,10.074761,14.135231,111 days 05:00:00,39,15.789474,23.026100,-10.382024,15.981294,-4.385806,0.769476,-1.866202,-0.797215,-0.789964,0.971901,-1.117539
107,3.725590,50,8,2.448446,3.586422,218 days 10:00:00,833.245145,-16.675485,-50.755473,12.276020,20.611994,213 days 20:00:00,37,11.111111,10.989380,-9.504266,8.104171,-3.174303,0.403038,-4.766149,-2.347035,-1.274849,0.876994,-3.229512
76,4.353815,38,13,2.946195,4.562592,218 days 10:00:00,909.065876,-9.093412,-50.755473,8.771791,16.052850,214 days 19:00:00,32,12.903226,30.895170,-9.960904,20.562247,-3.690604,0.633073,-2.969651,-1.216058,-0.917451,0.950736,-1.692048
133,5.258252,41,11,2.995931,3.111742,218 days 10:00:00,858.781022,-14.121898,-50.755473,8.649153,14.300902,177 days 17:00:00,31,12.903226,20.963711,-9.423193,12.713763,-3.676400,0.438033,-4.555451,-2.273436,-1.570730,0.893931,-3.012294
