CVDBB_bbands_length,CVDBB_bbands_stddev,CVDBB_cvd_length,CVDBB_atr_length,CVDBB_sl_coef,CVDBB_tpsl_ratio,period,end_value,total_return_pct,benchmark_return_pct,total_fees_paid,max_drawdown_pct,max_drawdown_duration,total_trades,win_rate_pct,best_trade_pct,worst_trade_pct,avg_winning_trade_pct,avg_losing_trade_pct,profit_factor,expectancy,sharpe_ratio,calmar_ratio,omega_ratio,sortino_ratio
125,5.500000,40,10,2.000000,2.500000,218 days 10:00:00,940.748826,-5.925117,-50.755473,17.107214,10.406783,212 days 14:00:00,39,25.641026,9.382184,-6.472548,5.289972,-2.507670,0.786613,-1.519261,-0.823442,-0.932411,0.947110,-1.124452
135,2.000000,40,10,2.000000,2.500000,218 days 10:00:00,948.441651,-5.155835,-50.755473,24.739152,11.130272,102 days 23:00:00,58,27.586207,12.425327,-7.307469,5.485243,-2.754272,0.873572,-0.888937,-0.565180,-0.760636,0.970295,-0.819299
135,2.500000,40,10,2.000000,2.500000,218 days 10:00:00,994.612425,-0.538757,-50.755473,19.561309,8.992246,195 days 06:00:00,47,29.787234,17.783162,-6.308564,7.256688,-2.655389,0.983059,-0.114629,-0.011134,-0.099942,0.999389,-0.015663
135,3.000000,40,10,2.000000,2.500000,218 days 10:00:00,931.877393,-6.812261,-50.755473,16.878655,8.272819,212 days 14:00:00,40,25.000000,17.783162,-6.308564,6.540317,-2.668311,0.763001,-1.703065,-0.956994,-1.344387,0.944039,-1.298821
135,3.500000,40,10,2.000000,2.500000,218 days 10:00:00,900.475755,-9.952425,-50.755473,17.491016,12.225105,212 days 14:00:00,40,22.500000,9.382184,-6.308564,5.291112,-2.535603,0.662955,-2.488106,-1.432175,-1.314506,0.908681,-1.921114
135,4.000000,40,10,2.000000,2.500000,218 days 10:00:00,900.444318,-9.955568,-50.755473,17.484865,12.225105,212 days 14:00:00,40,22.500000,9.382184,-6.308564,5.291112,-2.537380,0.662884,-2.488892,-1.433766,-1.314906,0.908874,-1.925921
135,4.500000,40,10,2.000000,2.500000,218 days 10:00:00,909.486165,-9.051383,-50.755473,17.135764,12.225105,212 days 14:00:00,39,23.076923,9.382184,-6.308564,5.291112,-2.534536,0.683821,-2.320868,-1.299101,-1.199320,0.916899,-1.751185
135,5.000000,40,10,2.000000,2.500000,218 days 10:00:00,909.486165,-9.051383,-50.755473,17.135764,12.225105,212 days 14:00:00,39,23.076923,9.382184,-6.308564,5.291112,-2.534536,0.683821,-2.320868,-1.299101,-1.199320,0.916899,-1.751185
135,5.500000,40,10,2.000000,2.500000,218 days 10:00:00,909.486165,-9.051383,-50.755473,17.135764,12.225105,212 days 14:00:00,39,23.076923,9.382184,-6.308564,5.291112,-2.534536,0.683821,-2.320868,-1.299101,-1.199320,0.916899,-1.751185
145,2.000000,40,10,2.000000,2.500000,218 days 10:00:00,928.975975,-7.102403,-50.755473,25.533254,10.142663,118 days 04:00:00,60,26.666667,12.425327,-7.307469,5.256576,-2.767486,0.830979,-1.183734,-0.830417,-1.142089,0.957328,-1.182501
